property_title,property_location,price,area,listing_type
2-BEDROOM APARTMENT,Al Ansab,300,,For Rent
2-BEDROOM APARTMENT,Shatti Al Qurum,500,,For Rent
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),1500,,For Rent
COMMERCIAL SHOP,Ghala,370,39,For Rent
COMMERCIAL OFFICE SPACE,Bausher,4,,For Rent
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,650,,For Rent
COMMERCIAL SPACE,Shatti Al Qurum,6,,For Rent
6+1 BEDROOM TWIN VILLA,Bausher,1000,,For Rent
5+1 BEDROOM TWIN VILLA,Al Ansab,750,,For Rent
RETAIL SPACES,Al Khuwair,7,,For Rent
Showroom- Fitted for Medical or Healthcare Use,,7,,For Rent
COMMERCIAL SPACE,Azaiba,2200,,For Rent
2-BEDROOM APARTMENT,Maabelah,180,,For Rent
3-BEDROOM APARTMENT,Al Khuwair,280,,For Rent
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,250,,For Rent
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),800,,For Rent
4-BEDROOM TWIN VILLA,,700,,For Rent
4-BEDROOM VILLA,,600,,For Rent
3-BEDROOM APARTMENT,Darsait,400,,For Rent
2+1 BEDROOM APARTMENT,Al Ghoubrah,550,,For Rent
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),1800,,For Rent
7-BEDROOM TWIN VILLA,Al Mawaleh,675,,For Rent
5-BEDROOM COMPOUND VILLA,Madinat Al llam,900,,For Rent
OFFICE SPACE,Muscat Hills,6,51.63,For Rent
3-BEDROOM TOWNHOUSE,The Wave Muscat,1100,,For Rent
5-BEDROOM DETACHED VILLA,Muscat Hills,2500,,For Rent
5-BEDROOM TWIN VILLA,Al Ansab,700,,"For Rent, For Sale"
2-BEDROOM APARTMENT,Al Ghoubrah,600,,For Rent
2-BEDROOM APARTMENT,Muscat Hills,450,,For Rent
2-BEDROOM APARTMENT,Al Mawaleh,275,,For Rent
4-BEDROOM TWIN VILLA,Al Mawaleh,560,,For Rent
3-BEDROOM TWIN VILLA,Al Mawaleh,560,,For Rent
1-BEDROOM APARTMENT,Muscat Hills,375,,For Rent
6+2 BEDROOM STANDALONE VILLA,Qurum,1300,1255,For Rent
6-BEDROOM APARTMENT,Al Khuwair,550,,For Rent
4+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,700,,For Rent
4+1 TWIN VILLA,Shatti Al Qurum,1000,,"For Rent, For Sale"
4-BEDROOM TOWNHOUSE,Al Hail,450,,For Rent
3+1 TOWNHOUSE,Maabelah,600,,For Rent
2-BEDROOM TOWNHOUSE,Al Ansab,650,200,For Rent
2-BEDROOM APARTMENT,Al Ansab,400,,For Rent
6-BEDROOM TWIN VILLA,Shatti Al Qurum,700,,For Rent
6 BEDROOM DETACHED VILLA,Madinat Al llam,850,,For Rent
4 BEDROOM TWIN-VILLA,Al Mawaleh,700,,For Rent
Office Space,Bausher,400,55,For Rent
2 + 1 FULLY FURNISHED APARTMENT,Qurum,500,,For Rent
5 BEDROOM TOWNHOUSE,Qurum,850,,For Rent
5 BEDROOM TOWNHOUSE,Qurum,950,,For Rent
2 BEDROOM APARTMENT,Shatti Al Qurum,450,,For Rent
3 BEDROOM APARTMENT,Azaiba,330,,For Rent
1 & 2 BEDROOM APARTMENT,Azaiba,280,,For Rent
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,400,300,For Rent
COMMERCIAL OFFICE SPACE IN (BAUSHER),Bausher,1600,415,For Rent
3 BEDROOM APARTMENT IN (DARSIT),Darsait,450,,For Rent
2 BEDROOM APARTMENT IN (DARSIT),Darsait,400,,For Rent
3+1 BEDROOM TOWNHOUSE IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),650,,For Rent
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,475,,For Rent
3 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,360,,For Rent
2 BEDROOM APARTMENT IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),300,150,For Rent
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,550,,For Rent
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,450,,For Rent
3 BEDROOM TOWNHOUSE,Qurum,650,,For Rent
5+1 BEDROOM VILLA IN ( QURUM),Qurum,2500,,For Rent
3+1 BEDROOM VILLA IN ( SHATTI QURUM),Shatti Al Qurum,2500,,For Rent
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,1000,,For Rent
2 SPACIOUS SHOWROOM IN ( MAABELLAH),Maabelah,3000,300,For Rent
5 BEDROOM TWIN VILLA,Azaiba,700,200,For Rent
COMMERCIAL SPACE FOR RENT IN (RUWI),Ruwi,11000,,For Rent
4+1  BEDROOM TWIN-VILLA,Maabelah,450,250,For Rent
4+1 BEDROOM TWIN-VILLA IN ( QURUM),Qurum,1350,600,For Rent
2 BEDROOM PENTHOUSE  IN ( MUSCAT HILLS),Muscat Hills,650,250,For Rent
2 BEDROOM PENTHOUSE FURNISHED IN ( MUSCAT HILLS),Muscat Hills,750,250,For Rent
2 BEDROOM PENTHOUSE FURNISHED IN ( MUSCAT HILLS),Muscat Hills,750,250,For Rent
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,450,175,For Rent
2 BEDROOM APARTMENT IN (QURUM),Qurum,350,,For Rent
5 BEDROOM TOWNHOUSE,Madinat Qaboos (MQ),1100,,For Rent
FULLY FURNISHED STUDIO APARTMENT IN (SALALAH),Salalah,400,55,For Rent
FURNISHED 4+1 BEDROOM TOWNHOUSE IN ( MUSCAT BAY),MUSCAT BAY,1400,583,For Rent
4+1 TOWNHOUSE IN (MADINAT AL SULTAN QABOOS),Madinat Qaboos (MQ),850,,For Rent
2 BEDROOM APARTMENT IN (AL KHUWAIR),,260,++150,For Rent
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,315,84,For Rent
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,515,143,For Rent
2 BEDROOM APARTMENT IN (GHUBRA),Al Ghoubrah,210,++135,For Rent
COMMERCIAL SPACE IN (SHATTI AL QURUM),Shatti Al Qurum,11900,1400,For Rent
PEARL BUILDING COMMERCIAL SPACE,Muscat Hills,1200,97,For Rent
7+1 BEDROOM COMMERCIAL VILLA IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),1800,++260,For Rent
6+2 BHK COMMERCIAL VILLA IN (AZAIBA),Azaiba,3000,1000,For Rent
6+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,1800,739,For Rent
4+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,1200,529,For Rent
5+1 BEDROOM TOWNHOUSE IN ( QURUM),Qurum,1750,556,For Rent
5+1  BEDROOM TOWNHOUSE IN (QURUM),Qurum,1500,780.42,For Rent
2 BHK FULLY FURNISHED DUPLEX APARTMENT IN ( AL MOUJ),Al Mouj,2300,172,For Rent
2-BEDROOM APARTMENT,Al Mawaleh,250,,For Rent
1-BEDROOM APARTMENT,Al Mawaleh,220,,For Rent
5+1 BEDROOM VILLA IN (AL ANSAB),Al Ansab,750,,For Rent
FURNISHED 5 BEDROOM TWIN VILLA,Al Ansab,850,,For Rent
4 + 1 BEDROOM DETACHED VILLA,Al Ghoubrah,900,++350,For Rent
7+1 BEDROOM FURNISHED  VILLA IN ( AL KHUWAIR),Al Khuwair,950,416,For Rent
3 BEDROOM TOWNHOUSE,Qurum,750,250,For Rent
5+3 BEDROOM VILLA IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),2100,750,For Rent
"SHOP FOR RENT IN (RUWI, WALJA)",Ruwi,400,94 / 72,For Rent
2 BEDROOM APARTMENT IN (RUWI CBD),,140,+-130,For Rent
2 BHK FULL FURNISHED APARTMENT IN (QURUM),Shatti Al Qurum,450,135,For Rent
OFFICE SPACE IN (RUWI),Ruwi,1500,350,For Rent
2 BEDROOM APARTMENTS IN (RUWI),Ruwi,225,+-130,For Rent
1 BEDROOM APARTMENTS IN RUWI (WALJA),Ruwi,150,+-80,For Rent
FURNISHED 2 BEDROOM TWIN-VILLA IN (MUTRAH),Mutrah,380,135,For Rent
5000 SQM WAREHOUSE IN (GHALA),Ghala,7500,5000,For Rent
NEW COMMERCIAL SHOPS IN (MABELLAH),Maabelah,550,47.5,For Rent
4 BEDROOM TWIN VILLA IN (SHATTI ALQURUM),Shatti Al Qurum,1500,+-350,For Rent
2 BEDROOM APARTMENT IN (BOUSHAR),Bausher,220,120,For Rent
4 BEDROOM DETACHED VILLA,Azaiba,750,750,For Rent
COMMERCIAL SHOPS IN (MABELLAH),Maabelah,350,350,For Rent
8 BEDROOM TWIN VILLA,Al Khoudh,600,,For Rent
1 BEDROOM FURNISHED PENTHOUSE IN (ALKHUWAIR),Al Khuwair,320,100,For Rent
5 + 1 BEDROOM TWIN VILLA IN (ALKHOUDH),Al Khoudh,500,350,For Rent
6 BEDROOM DETACHED VILLA,Al Awabi,600,250,For Rent
COMMERCIAL SPACES,Seeb,135,32,For Rent
4 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),680,200,For Rent
NEW FURNISHED 1 BEDROOM APARTMENT IN (MUSCAT BAY),MUSCAT BAY,500,,For Rent
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,550,250,For Rent
4 BEDROOM TOWNHOUSE IN (ALSEEB),Seeb,550,290,For Rent
6 BEDROOM TWIN-VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,1000,370,For Rent
5 + 1 BEDROOM VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,750,350,For Rent
2 BEDROOM APARTMENT IN,Al Hail,180,,For Rent
2 BEDROOM APARTMENT (SHATTI AL QURUM),Muscat,550,+-130,For Rent
2 BEDROOM APARTMENT IN (AL MAWALLEH),Al Mawaleh,200,+-85,For Rent
2 BEDROOM APARTMENT IN (GHALA),Ghala,210,,For Rent
3 BEDROOM TWIN-VILLA IN (BOSHER),Bausher,600,+-300,For Rent
OFFICE SPACE,Ghala,-550,+-155.3,For Rent
COMMERCIAL SHOWROOM,Bausher,3000,,For Rent
3+1 STANDALONE VILLA,Madinat Qaboos (MQ),750,,For Rent
2+1 BEDROOM APARTMENT,Al Mouj,700,,For Rent
OFFICE SPACE,Al Khuwair,350,,For Rent
1-BEDROOM APARTMENT,Azaiba,33000,,For Rent
2-BEDROOM APARTMENT,Al Khuwair,250,,For Rent
3+1 BEDROOM VILLA,,600,,For Rent
5-BEDROOM STANDALONE VILLA,Shatti Al Qurum,1700,,For Rent
5-BEDROOM DETACHED VILLA,Shatti Al Qurum,5000,,For Rent
OFFICE SPACE,Al Ghoubrah,650,,"For Rent, For Sale"
COMMERCIAL SHOWROOM,Azaiba,1350,,For Rent
2-BEDROOM APARTMENT,Qurum,500,,For Rent
4-BEDROOM VILLA,Qurum,550,,For Rent
5-BEDROOM DETACHED VILLA,Shatti Al Qurum,2000,,For Rent
2-BEDROOM COMPOUND VILLA,Shatti Al Qurum,375,,For Rent
FURNISHED STUDIO APARTMENT,Salalah,300,,For Rent
3+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,550,,For Rent
4+1 TOWNHOUSE,Qurum,750,,For Rent
6+1 BEDROOM VILLA,Shatti Al Qurum,1000,,For Rent
2-3 BEDROOM APARTMENT,Ruwi,180,,For Rent
2-BEDROOM APARTMENT,Ruwi,200,,For Rent
2-3 BEDROOM APARTMENT,Ruwi,200,,For Rent
2-BEDROOM APARTMENT,Ruwi,200,,For Rent
2-3 BEDROOM APARTMENT,Ruwi,200,,For Rent
COMMERCIAL OFFICE SPACE,Shatti Al Qurum,6,,For Rent
2 BEDROOM APARTMENT,Al Khuwair,400,,For Rent
75 & 55 SQM OFFICES,Ghala,7,75,For Rent
COMMERCIAL OFFICES,Ghala,150,17.5,For Rent
COMMERCIAL SHOPS,Ghala,250,,For Rent
8 BEDROOM DETACHED VILLA,Ruwi,2800,,For Rent
TWO FLOORS SHOWROOM,Ruwi,4500,,For Rent
SHOP AVAILABLE,Shatti Al Qurum,1700,,For Rent
OFFICE SPACE,Shatti Al Qurum,600,,For Rent
2 BEDROOM APARTMENT,Shatti Al Qurum,500,,For Rent
4 BEDROOM APARTMENT,Mutrah,200,,For Rent
3 BEDROOM TOWNHOUSE,Qurum,145000,,For Rent
2 COMMERCIAL SHOPS,Al Ghoubrah,7,,For Rent
5 BEDROOM DETACHED VILLA,Al Hail,900,,For Rent
2 BEDROOM APARTMENT IN (SEEB),Seeb,350,170,For Rent
4 BEDROOM RENOVATED DETACHED VILLA,Azaiba,-950,+-340,For Rent
6 BEDROOM DETACHED VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,-950,+-350,For Rent
2 BEDROOM APARTMENT IN (BOSHER),Bausher,475,,For Rent
4 BEDROOM DETACHED VILLA IN (NIZWA),Nizwa,-600,+-400,For Rent
